Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-29,27.0,29.18000030517578,26.0,26.0,10523300,0,0
2021-07-30,26.190000534057617,28.15999984741211,25.5,27.420000076293945,2232300,0,0
2021-08-02,27.110000610351562,29.889999389648438,26.6200008392334,28.31999969482422,1529900,0,0
2021-08-03,29.1200008392334,29.1200008392334,27.56999969482422,28.06999969482422,1146800,0,0
2021-08-04,28.06999969482422,28.549999237060547,27.1200008392334,28.1200008392334,78880000,0,0
2021-08-05,28.170000076293945,28.73699951171875,27.395000457763672,28.309999465942383,20560000,0,0
2021-08-06,28.5,28.5,27.59000015258789,28.25,38690000,0,0
2021-08-09,28.200000762939453,29.739999771118164,28.030000686645508,28.760000228881836,55570000,0,0
2021-08-10,28.790000915527344,28.940000534057617,28.149999618530273,28.520000457763672,13470000,0,0
2021-08-11,28.780000686645508,28.979999542236328,27.1200008392334,27.649999618530273,83380000,0,0
2021-08-12,27.40999984741211,28.420000076293945,27.139999389648438,28.020000457763672,21070000,0,0
2021-08-13,27.770000457763672,27.850000381469727,27.239999771118164,27.600000381469727,21150000,0,0
2021-08-16,27.270000457763672,28.1200008392334,26.200000762939453,27.93000030517578,31760000,0,0
2021-08-17,27.639999389648438,27.639999389648438,26.530000686645508,26.65999984741211,31430000,0,0
2021-08-18,26.709999084472656,27.315000534057617,26.5,26.75,24220000,0,0
2021-08-19,26.940000534057617,27.309999465942383,26.5,27.1200008392334,18670000,0,0
2021-08-20,27.31999969482422,28.75,26.670000076293945,28.59000015258789,46320000,0,0
2021-08-23,28.700000762939453,28.75,27.190000534057617,27.850000381469727,48580000,0,0
2021-08-24,27.110000610351562,28.051000595092773,27.100000381469727,27.260000228881836,27100000,0,0
2021-08-25,27.0,27.260000228881836,25.940000534057617,26.049999237060547,28620000,0,0
2021-08-26,26.049999237060547,26.399999618530273,25.3799991607666,26.020000457763672,22650000,0,0
2021-08-27,26.0,29.0,25.635000228881836,28.920000076293945,38140000,0,0
2021-08-30,28.600000381469727,33.33000183105469,28.450000762939453,32.75,85830000,0,0
2021-08-31,34.18000030517578,34.900001525878906,31.010000228881836,32.25,108600000,0,0
2021-09-01,33.189998626708984,35.20000076293945,32.619998931884766,33.25,78740000,0,0
2021-09-02,34.54999923706055,35.29999923706055,33.790000915527344,34.08000183105469,87270000,0,0
2021-09-03,34.0,37.40999984741211,34.0,36.91999816894531,107130000,0,0
2021-09-17,27.219999313354492,27.719999313354492,26.204999923706055,27.06999969482422,962751,0,0
